slug,title,badge,url,summary
difference-score_paired-ttest,R Documentation: t.test,DOCS,https://stat.ethz.ch/R-manual/R-devel/library/stats/html/t.test.html,"Official R documentation for the t.test() function, covering paired samples t-tests, confidence intervals, and assumptions for difference score analysis."
difference-score_paired-ttest,Paired Samples t-test Tutorial,VIGNETTE,https://www.statmethods.net/stats/ttest.html,"Comprehensive tutorial on conducting paired samples t-tests in R, including data preparation, assumption checking, effect size calculation, and result interpretation."
difference-score_paired-ttest,Change Scores vs Growth Models,PAPER,https://psycnet.apa.org/record/1988-32642-001,"Methodology paper comparing difference score analysis with more sophisticated longitudinal methods, discussing when simple change scores are appropriate (Rogosa, 1988). Note: access may require institutional or paid subscription."
difference-score_paired-ttest,effectsize Package for Cohen's d,TOOL,https://cran.r-project.org/package=effectsize,"R package for computing standardized effect sizes including Cohen's d for paired samples, with confidence intervals and multiple estimation methods."
difference-score_simple-regression,R Documentation: lm,DOCS,https://stat.ethz.ch/R-manual/R-devel/library/stats/html/lm.html,"Official R documentation for the lm() function, covering linear regression specifications, formula syntax, and diagnostic methods for difference score models."
difference-score_simple-regression,Linear Regression in R Tutorial,VIGNETTE,https://www.statmethods.net/stats/regression.html,"Step-by-step guide to fitting and interpreting linear regression models in R, including assumption checking, model diagnostics, and visualization of predicted values."
difference-score_simple-regression,Regression with Change Scores,PAPER,https://psycnet.apa.org/record/1971-05016-001,"Methodology paper on using difference scores as outcomes or predictors in regression models, addressing reliability concerns and interpretation issues (Cronbach & Furby, 1970). Note: access may require institutional or paid subscription."
difference-score_simple-regression,broom Package for Tidy Regression Output,TOOL,https://cran.r-project.org/package=broom,"R package for converting regression model results into clean, tidy dataframes, facilitating easier interpretation and visualization of difference score analyses."
gee-time-varying-covariate,geepack Package Documentation,DOCS,https://cran.r-project.org/package=geepack,"Official CRAN documentation for the geepack package, covering geeglm() with time-varying covariates and different working correlation structures for repeated measures data."
gee-time-varying-covariate,Time-Varying Covariates in GEE (Analysis Factor),VIGNETTE,https://www.theanalysisfactor.com/time-varying-covariates-gee/,"Practical tutorial that walks through formatting longitudinal data, specifying time-varying predictors in `geeglm()`, and interpreting coefficients and interactions using real-world R examples."
gee-time-varying-covariate,GEE vs Mixed Models,PAPER,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2798744/,"Methodology paper comparing population-averaged (GEE) versus subject-specific (mixed model) approaches for longitudinal data, with guidance on choosing between methods (Hubbard et al., 2010)."
gee-time-varying-covariate,emmeans for GEE Marginal Effects,TOOL,https://cran.r-project.org/package=emmeans,"R package for computing estimated marginal means and contrasts from GEE models, useful for interpreting time-varying covariate effects at specific time points."
gee,geepack Package Documentation,DOCS,https://cran.r-project.org/package=geepack,"Official CRAN documentation for the geepack package, covering the geeglm() function for generalized estimating equations with detailed parameter descriptions and working correlation structures."
gee,GEE Analysis in R Tutorial,VIGNETTE,https://cran.r-project.org/web/packages/geepack/vignettes/geepack-manual.pdf,"Comprehensive tutorial on implementing GEE models in R using geepack, including specification of correlation structures, robust standard errors, and interpretation of population-averaged effects."
gee,Longitudinal Data Analysis by Diggle et al.,BOOK,https://oxford.universitypressscholarship.com/view/10.1093/oso/9780198524847.001.0001,"Authoritative textbook on analyzing longitudinal and clustered data. Chapter 8 covers GEE methodology, working correlation structures, and comparison with mixed models. Note: access may require institutional or paid subscription."
gee,QIC for Model Selection in GEE,PAPER,https://onlinelibrary.wiley.com/doi/10.1111/j.0006-341X.2001.00120.x,"Methodology paper on using Quasi-likelihood Information Criterion (QIC) for selecting working correlation structures in GEE models (Pan, 2001). Note: access may require institutional or paid subscription."
glmm-interactions,lme4 Package Documentation,DOCS,https://cran.r-project.org/package=lme4,"Official CRAN documentation for the lme4 package, with detailed examples of interaction terms in generalized linear mixed models and interpretation of fixed effects."
glmm-interactions,Interactions in GLMMs,VIGNETTE,https://cran.r-project.org/web/packages/lme4/vignettes/lmer.pdf,"Tutorial on specifying and interpreting interaction effects in generalized linear mixed models, including cross-level interactions and visualization strategies."
glmm-interactions,Interpreting Interactions in Mixed Models,PAPER,https://psycnet.apa.org/record/1991-97932-000,"Methodology paper on proper interpretation of interaction terms in multilevel models, covering centering decisions and probing significant interactions (Aiken & West, 1991). Note: access may require institutional or paid subscription."
glmm-interactions,interactions Package for Probing Effects,TOOL,https://cran.r-project.org/package=interactions,"R package for visualizing and probing interaction effects in regression models, including simple slopes analysis and Johnson-Neyman intervals for mixed models."
glmm,lme4 Package Documentation,DOCS,https://cran.r-project.org/package=lme4,"Official CRAN documentation for the lme4 package, covering the glmer() function for fitting generalized linear mixed models with detailed specifications for family distributions and link functions."
glmm,Fitting GLMMs in R with lme4,VIGNETTE,https://cran.r-project.org/web/packages/lme4/vignettes/lmer.pdf,"Comprehensive vignette on implementing generalized linear mixed models using lme4, including binary, count, and proportion outcomes with random effects specifications."
glmm,Data Analysis Using Regression and Multilevel Models,BOOK,https://www.cambridge.org/core/books/data-analysis-using-regression-and-multilevelhierarchical-models/,Foundational textbook by Gelman & Hill covering hierarchical models for non-normal outcomes. Chapters 13-14 focus on GLMMs with practical examples and interpretation guidance.
glmm,sjPlot for GLMM Visualization,TOOL,https://cran.r-project.org/package=sjPlot,"R package for creating publication-quality tables and plots from mixed models, including predicted probabilities, marginal effects, and random effects visualization."
lgcm-basic,lavaan Growth Curve Tutorial,DOCS,https://lavaan.ugent.be/tutorial/growth.html,"Official lavaan documentation for latent growth curve modeling basics, covering model specification, parameter estimation, and result interpretation for unconditional growth models."
lgcm-basic,Structural Equation Modeling in lavaan,VIGNETTE,https://cran.r-project.org/web/packages/lavaan/vignettes/intro.pdf,"Comprehensive vignette covering growth models within the structural equation modeling framework, including detailed examples of latent growth curve specifications and output interpretation."
lgcm-basic,Longitudinal Data Analysis by Singer & Willett,BOOK,https://oxford.universitypressscholarship.com/view/10.1093/acprof:oso/9780195152968.001.0001,"Foundational textbook on growth curve modeling. Chapters 3-4 provide thorough coverage of unconditional growth models, including interpretation of intercepts, slopes, and random effects for longitudinal data. Note: access may require institutional or paid subscription."
lgcm-basic,semPlot Package for Model Visualization,TOOL,https://cran.r-project.org/package=semPlot,"R package for creating publication-quality path diagrams of structural equation models and latent growth curve models, with extensive customization options for visualization."
lgcm-multiple-groups,lavaan Multi-Group Analysis,DOCS,https://lavaan.ugent.be/tutorial/groups.html,"Official lavaan documentation on multi-group growth curve modeling, including how to specify group constraints and test measurement invariance across groups."
lgcm-multiple-groups,Measurement Invariance in Growth Models,PAPER,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3930030/,"Comprehensive methodology paper on testing invariance across groups in longitudinal structural equation models, covering configural, metric, and scalar invariance (Widaman et al., 2010)."
lgcm-multiple-groups,Growth Curve Modeling by Preacher et al.,BOOK,https://www.guilford.com/books/Growth-Curve-Modeling/Preacher-Wichman-MacCallum-Briggs/9781462523047,"Textbook chapter on multi-group growth models with practical examples, demonstrating how to compare trajectories across demographic groups and test equality constraints."
lgcm-multiple-groups,semTools for Invariance Testing,TOOL,https://cran.r-project.org/package=semTools,"R package that automates measurement invariance tests in lavaan, providing convenient functions for sequential constraint testing and model comparison."
lgcm-nesting,lavaan Complex Survey Features,DOCS,https://lavaan.ugent.be/tutorial/est.html,"Official lavaan documentation on cluster-robust standard errors and handling nested data structures in growth curve models, including the cluster argument for adjusting standard errors."
lgcm-nesting,Multilevel Growth Models in lavaan,VIGNETTE,https://lavaan.ugent.be/tutorial/cluster.html,"Step-by-step lavaan tutorial that demonstrates how to specify two-level growth models using the `cluster` argument, adjust standard errors for nested designs, and interpret between-cluster versus within-cluster effects."
lgcm-nesting,Nested Data Structures in Growth Modeling,PAPER,https://www.statmodel.com/download/Nested.pdf,"Methodology paper discussing how to properly account for clustering in longitudinal structural equation models, including strategies for modeling nested dependencies."
lgcm-nesting,lavaan.survey Package,TOOL,https://cran.r-project.org/package=lavaan.survey,"CRAN package that extends lavaan to complex survey and clustered data via sandwich estimators, letting you fit the same growth models while properly accounting for design weights and multi-level clustering."
lgcm-time-invariant-covariates,lavaan Regression Tutorial,DOCS,https://lavaan.ugent.be/tutorial/cov.html,"Official lavaan guide on including predictors of latent growth factors, demonstrating how time-invariant covariates can predict individual differences in intercepts and slopes."
lgcm-time-invariant-covariates,Growth Models with Covariates,VIGNETTE,https://quantdev.ssri.psu.edu/sites/qdev/files/GMswCovariates.html,"Detailed tutorial with practical examples of time-invariant covariate effects on growth parameters, including interpretation of covariate-by-intercept and covariate-by-slope associations."
lgcm-time-invariant-covariates,Centering in Growth Models,PAPER,https://psycnet.apa.org/record/2007-10421-007,"Best practices for centering time-invariant predictors in latent growth curve models. Discusses grand-mean centering versus group-mean centering and their interpretational implications (Enders & Tofighi, 2007). Note: access may require institutional or paid subscription."
lgcm-time-invariant-covariates,broom.mixed for Tidy SEM Output,TOOL,https://cran.r-project.org/package=broom.mixed,"R package for extracting and formatting lavaan results with predictors into clean, publication-ready tables. Particularly useful for models with multiple covariates."
lmm-random-intercept,lme4 Package Documentation,DOCS,https://cran.r-project.org/package=lme4,"Official CRAN documentation for the lme4 package, covering the lmer() function for fitting linear mixed-effects models with random intercepts. Includes detailed explanations of model specification syntax, variance component estimation, and interpretation of random effects."
lmm-random-intercept,Fitting Linear Mixed-Effects Models Using lme4,VIGNETTE,https://cran.r-project.org/web/packages/lme4/vignettes/lmer.pdf,"Comprehensive vignette by Douglas Bates et al. introducing linear mixed models with random intercepts, including the (1|group) formula syntax, intraclass correlation calculation, and comparison with fixed-effects-only models. Essential reading for understanding how lme4 estimates variance components."
lmm-random-intercept,Multilevel Analysis: An Introduction,BOOK,https://uk.sagepub.com/en-gb/eur/multilevel-analysis/book241434,"Snijders & Bosker (2011). Foundational textbook on multilevel modeling, with Chapters 2-4 covering random intercept models, interpretation of variance components, intraclass correlation coefficients (ICC), and the distinction between within-person and between-person effects."
lmm-random-intercept,performance Package for Model Diagnostics,TOOL,https://easystats.github.io/performance/,"R package for checking linear mixed model assumptions including normality of random effects, homoscedasticity, and influential observations. The check_model() function provides comprehensive diagnostic plots specifically designed for lme4 models."
lmm-random-slopes,lme4 Package Documentation,DOCS,https://cran.r-project.org/package=lme4,"Official CRAN documentation for the lme4 package, with detailed coverage of random slopes models using the (1 + time|subject) syntax. Explains variance-covariance matrix estimation for random effects and interpretation of intercept-slope correlations."
lmm-random-slopes,Fitting Linear Mixed-Effects Models Using lme4,VIGNETTE,https://cran.r-project.org/web/packages/lme4/vignettes/lmer.pdf,"Comprehensive guide to linear mixed-effects modeling with lme4, including random slopes specification, convergence troubleshooting, and diagnostic procedures. Section 2.3 specifically addresses modeling individual differences in change trajectories with correlated random effects."
lmm-random-slopes,Data Analysis Using Regression and Multilevel Models,BOOK,https://www.cambridge.org/core/books/data-analysis-using-regression-and-multilevelhierarchical-models/,"Gelman & Hill (2007). Chapters 11-13 cover varying-intercept and varying-slope models with excellent practical guidance on model building, interpretation of random effects correlations, and when to include random slopes. Includes discussion of the bias-variance tradeoff in complex random effects structures."
lmm-random-slopes,sjPlot for Model Visualization,TOOL,https://strengejacke.github.io/sjPlot/,"R package providing publication-ready tables and plots for lme4 models, including plot_model() for visualizing random slopes and tab_model() for formatted regression tables with variance components. Particularly useful for showing individual trajectories with confidence bands."
lmm-time-invariant-covariates,lme4 Package Documentation,DOCS,https://cran.r-project.org/package=lme4,"Official CRAN documentation for the lme4 package, with examples of incorporating time-invariant covariates into linear mixed models. Covers model specification with covariates predicting both intercepts and slopes, including interaction terms with time."
lmm-time-invariant-covariates,Fitting Linear Mixed-Effects Models Using lme4,VIGNETTE,https://cran.r-project.org/web/packages/lme4/vignettes/lmer.pdf,"Comprehensive lme4 vignette with Section 2.4 covering conditional models with time-invariant predictors. Demonstrates centering strategies for covariates, interpretation of cross-level interactions, and testing whether covariates predict individual differences in change rates."
lmm-time-invariant-covariates,Longitudinal Data Analysis,BOOK,https://oxford.universitypressscholarship.com/view/10.1093/acprof:oso/9780195152968.001.0001/acprof-9780195152968,"Singer & Willett (2003). Applied Longitudinal Data Analysis: Modeling Change and Event Occurrence. Chapters 5-6 provide detailed coverage of time-invariant covariates in growth models, including centering decisions, interpretation of covariate-by-time interactions, and distinguishing between effects on initial status versus change. Note: access may require institutional or paid subscription."
lmm-time-invariant-covariates,Centering Predictor Variables in Mixed Models,PAPER,https://doi.org/10.1037/1082-989X.12.2.121,Enders & Tofighi (2007). Methodological paper addressing the critical question of when and how to center time-invariant covariates in multilevel models. Explains grand-mean versus group-mean centering and how centering choices affect the interpretation of fixed and random effects. Note: access may require institutional or paid subscription.
mlgcm,lavaan Multivariate Growth Models,DOCS,https://lavaan.ugent.be/tutorial/growth.html#multivariate-growth-models,"Official lavaan documentation on parallel process models with multiple outcomes, demonstrating how to specify correlated intercepts and slopes across different constructs."
mlgcm,Parallel Process LGCM Tutorial,VIGNETTE,https://quantdev.ssri.psu.edu/tutorials/parallel-process-latent-growth-curve-models,"Step-by-step quantitative methods tutorial on modeling correlated growth trajectories between two or more outcomes, including interpretation of cross-domain associations."
mlgcm,Multivariate Growth Models in SEM,PAPER,https://psycnet.apa.org/record/2004-16692-003,"Foundational methodology paper on coupled change processes in multivariate longitudinal data, covering theoretical frameworks and practical applications (Bollen & Curran, 2004). Note: access may require institutional or paid subscription."
mlgcm,lavaan Model Syntax Examples,TOOL,https://lavaan.ugent.be/tutorial/syntax1.html,"Collection of lavaan syntax examples for complex structural equation models including multivariate growth curves, with code snippets and interpretation guidance."
residualized-change-score,R Documentation: lm and residuals,DOCS,https://stat.ethz.ch/R-manual/R-devel/library/stats/html/lm.html,"Official R documentation for the lm() function and residuals() method, essential for computing residualized change scores that control for baseline values."
residualized-change-score,Residualized Change Score Tutorial,VIGNETTE,https://www.statmethods.net/stats/regression.html,"Tutorial on computing and interpreting residualized change scores in R, including comparison with raw difference scores and appropriate use cases."
residualized-change-score,Lord's Paradox and Change Scores,PAPER,https://psycnet.apa.org/record/1968-03916-001,"Classic methodology paper discussing problems with change score analysis and advantages of residualized change scores for controlling baseline differences (Lord, 1967). Note: access may require institutional or paid subscription."
residualized-change-score,performance Package for Model Diagnostics,TOOL,https://cran.r-project.org/package=performance,"R package for assessing regression model quality, checking assumptions, and computing diagnostic statistics for residualized change score models."
